,nav
20250425,150268525.37225845
20250428,148572052.83190578
20250429,149135359.21062022
20250430,148624813.0579978
20250506,150795843.2488264
20250507,152467194.09479502
20250508,153004174.68064457
20250509,152099917.8445576
20250512,153075945.37880662
20250513,153062284.61813268
20250514,154030737.4673952
20250515,153033807.22920334
20250516,153724477.19972664
20250519,154611560.13434464
20250520,155472572.0972499
20250521,155564639.38317272
20250522,154158476.81038016
20250523,153805147.43828613
20250526,154932168.5305628
20250527,154409046.31707808
20250528,155693438.81035718
20250529,157201510.08915472
20250530,155462605.05007446
20250603,156170530.44024813
20250604,157341971.79732385
20250605,156778578.56491613
20250606,157681308.84803388
20250609,159261012.8242115
20250610,158713577.52600574
20250611,160169354.40333205
20250612,161077003.8362401
20250613,161185407.9951243
20250616,161074244.49755278
20250617,161496390.3001743
20250618,161100722.82130218
20250619,158975738.21217644
20250620,157959361.45001552
20250623,159736523.3224906
20250624,160155667.5791294
20250625,161177824.427526
20250626,161098578.05585477
20250627,162315916.60881388
20250630,163748410.558963
20250701,165625306.51575193
20250702,165685799.54096198
20250703,166264928.7006672
20250704,165308080.95888105
20250707,166091782.02594167
20250708,167559710.9947587
20250709,166842125.9356647
20250710,168237326.34310454
20250711,168762944.0483531
20250714,170174725.38464755
20250715,168801353.45302358
20250716,168543771.89465502
20250717,169355623.68293154
20250718,170576731.55453455
20250721,174841020.34552452
20250722,178116626.0842871
20250723,177248870.69202492
20250724,179420120.75050154
20250725,177681890.6010052
20250728,177821669.15206563
20250729,177709552.5158442
20250730,177763534.0586783
20250731,174271790.9268145
20250801,174088634.4729841
20250804,176063190.87349856
20250805,177360468.15025052
20250806,178986437.60998285
20250807,178679009.26886585
20250808,179652701.62113366
20250811,180684356.02840567
20250812,181281093.62370902
20250813,183557639.9310822
20250814,181298548.52269527
20250815,184868937.23949707
20250818,185664539.8772972
20250819,185985222.96642673
20250820,187355812.15608802
20250821,187245379.83304676
20250822,188725478.9946423
20250825,191556277.94783217
20250826,192631888.53297922
20250827,188024950.11671865
20250828,189801044.86767787
20250829,189832644.82024997
20250901,191717286.61058655
20250902,188944320.4495142
20250903,187176276.43040025
