,nav
20250519,104562182.745746
20250520,105213249.1649445
20250521,105205627.5094625
20250522,103762189.8468949
20250523,102984405.66442087
20250526,103496954.28978647
20250527,103562620.90923469
20250528,103904517.03869185
20250529,104734625.87813373
20250530,103725234.13464075
20250603,104381487.78794123
20250604,105386433.08879751
20250605,105190551.85083717
20250606,105335026.80119637
20250609,106221055.02781925
20250610,105980129.39111154
20250611,106710549.3139672
20250612,106944456.84042886
20250613,106494638.1825899
20250616,106875454.24022436
20250617,106473921.34527957
20250618,106452834.32278213
20250619,105038688.7804032
20250620,104595865.15006378
20250623,105464631.64383413
20250624,106454565.94920386
20250625,107429795.79747331
20250626,107953855.02493303
20250627,108299725.60369733
20250630,110126235.74396747
20250701,111059770.54803054
20250702,109872313.39162971
20250703,110850602.89260572
20250704,110588503.59954487
20250707,111632801.56246223
20250708,112558525.53121738
20250709,112236764.31460713
20250710,111862445.00559151
20250711,111995345.6089633
20250714,112807444.59196931
20250715,112672904.21667837
20250716,112227877.3719879
20250717,113496920.50558284
20250718,113784042.94475222
20250721,115677635.36962506
20250722,115998162.07773542
20250723,115592941.67281094
20250724,116071903.8811051
20250725,115873193.3844101
20250728,117062410.07418843
20250729,117575390.44997926
20250730,117294714.6570061
20250731,115491766.53202824
20250801,114903468.13053407
20250804,116592082.50174375
20250805,117555738.96890464
20250806,118953023.01107492
20250807,118132914.19301379
20250808,119060072.99452515
20250811,120331975.79574504
20250812,120463156.62394114
20250813,122162307.72259162
20250814,120741493.0017019
20250815,122561588.67635089
20250818,123737631.41243792
20250819,123710826.79184116
20250820,124370589.95440733
20250821,124195327.29531114
20250822,125103006.62784694
20250825,126620114.04041326
20250826,126500402.63762617
20250827,123533582.92704685
20250828,125017881.42743029
20250829,125739421.53058834
20250901,126934414.1713443
20250902,123101099.10545152
20250903,120921859.21546367
20250904,117632235.41005154
20250905,121114762.67353417
20250908,121903593.00827417
20250909,120425886.35315558
20250910,121029164.26235276
20250911,124474409.92471132
20250912,124965520.23612565
20250915,123788425.96343365
20250916,124926412.22389655
20250917,126338562.44754633
20250918,124862431.6590894
20250919,124213219.75855812
20250922,124830297.6880805
20250923,123147935.05062707
20250924,124854836.05284743
20250925,124166868.30358769
20250926,122784495.22112761
20250929,124411627.799145
20250930,124795960.84004492
20251009,125716032.66914304
20251010,123188772.1620018
20251013,121810832.23976222
20251014,118964492.52379178
20251015,121369245.53859629
20251016,120206056.74097152
20251017,115913235.59087516
20251020,116733319.99127765
20251021,118603847.76809123
20251022,117703860.46628243
20251023,117604771.9089741
20251024,119414196.68829021
20251027,120801399.87079966
20251028,119559946.0804257
20251029,122519050.290202
20251030,120316532.0268218
20251031,120576831.10891113
20251103,120632726.27663171
20251104,118811495.46466003
20251105,120481043.50687107
20251106,122276339.89013657
20251107,121401776.93502389
20251110,121148506.07315768
20251111,120677439.16578563
20251112,119394894.03493942
20251113,120877191.20793645
20251114,119134545.84528622
20251117,118636029.35886572
20251118,117361974.725394
20251119,116689862.7103545
20251120,115576076.74022496
20251121,110989834.04722016
20251124,112186597.04735851
20251125,114382556.33324073
20251126,114961413.57756406
20251127,115743836.18159899
20251128,117546226.04940078
20251201,118088311.77845187
20251202,117997259.26897953
20251203,118254680.83326869
20251204,117711890.48023295
20251205,118959879.35365765
20251208,119366763.22114642
20251209,118254521.9229974
20251210,118657388.8612461
20251211,117012603.3239554
20251212,117242530.02258071
20251215,117299569.3685312
20251216,114599576.65703659
20251217,116148848.81823388
20251218,115863102.58005746
20251219,117528213.08435774
20251222,118291389.72899726
20251223,118286474.58888485
20251224,119579299.34631221
20251225,120150693.4092034
20251226,120293566.84806876
20251229,119567271.4687806
20251230,119553728.39939782
20251231,119804742.98068266
