,nav
20240202,94623761.12074134
20240205,91880956.86587568
20240206,96647561.26378359
20240207,98967410.42949708
20240208,101949256.28937866
20240219,103244076.87065321
20240220,103556888.64354335
20240221,104155586.25947979
20240222,105136203.57921576
20240223,105800718.23362409
20240226,105831393.08682275
20240227,107306261.78911749
20240228,104079407.51255988
20240229,107036758.21914606
20240301,107758457.70793745
20240304,108732750.78355305
20240305,108009046.82445194
20240306,108832394.6945234
20240307,108877774.16951333
20240308,110225198.88968955
20240311,111229952.7003072
20240312,110383121.36954533
20240313,110147254.59253837
20240314,110086236.33054806
20240315,111260892.54316863
20240318,112337278.86312194
20240319,111680418.76313351
20240320,111918217.98448825
20240321,111510488.2822378
20240322,110106348.97232305
20240325,109760431.09162073
20240326,110346620.72943464
20240327,108472964.05618542
20240328,109892736.33493543
20240329,111620793.18853892
20240401,113369870.85460672
20240402,113953867.51608236
20240403,114547073.18828481
20240408,113469910.99344002
20240409,114428786.86279778
20240410,113485571.62266843
20240411,114539630.51169758
20240412,114304816.72502314
20240415,115446553.67570013
20240416,112399783.12120603
20240417,116388344.1262363
20240418,116358221.92410292
20240419,116827517.80835025
20240422,115515380.66070043
20240423,113564695.81457789
20240424,114896597.8792172
20240425,114410827.5085788
20240426,114860435.99485102
20240429,115735549.17793198
20240430,115600071.29404129
20240506,117771396.89872676
20240507,118344807.23739041
20240508,117083596.18965891
20240509,118677530.73700953
20240510,118851821.56921169
20240513,118547169.68683632
20240514,119365761.31495818
20240515,118038398.92790222
20240516,117910499.78769813
20240517,119288340.1088864
20240520,121307272.52118136
20240521,119456349.50364926
20240522,119159700.65181503
20240523,116031895.19999519
20240524,115835591.10184705
20240527,117356223.06637944
20240528,116691632.36317006
20240529,117798946.05246672
20240530,116048231.94748382
20240531,116437669.25124088
20240603,114886579.91258323
20240604,115091323.17327273
20240605,112427249.93493779
20240606,109526751.250839
20240607,110642270.71130215
20240611,110718292.12219845
20240612,112132056.48528226
20240613,111942380.86712483
20240614,112791765.25907017
20240617,112549634.36649081
20240618,114767696.38936213
20240619,113888062.97287826
20240620,112049027.64884149
20240621,112118923.90571353
20240624,108736749.11560144
20240625,108491297.60811588
20240626,111137711.14270347
20240627,109183804.07578601
20240628,110419646.62836024
20240701,111178133.346857
20240702,110326031.5711422
20240703,109224469.82554252
20240704,107595252.97304043
20240705,108595387.89572938
20240708,106534219.70474713
20240709,109657296.87774105
20240710,109238331.1025113
20240711,112460789.60083993
20240712,111862558.42089303
20240715,110762360.32374033
20240716,110959214.20474944
20240717,108607036.12934974
20240718,108325714.96129164
20240719,108415636.69958688
20240722,108346109.88228004
20240723,105774126.13307197
20240724,104550402.80117996
20240725,104332362.99326761
20240726,106540372.09029476
20240729,106815020.95165901
20240730,106720735.64834973
20240731,110185486.52053453
20240801,110064618.09317175
20240802,107616030.8561177
20240805,103862082.86690529
20240806,105560684.84646696
20240807,106371438.03296082
20240808,105637229.25308996
20240809,105588762.2194382
20240812,104954401.60018173
20240813,105666590.81756657
20240814,105085396.5484878
20240815,105779428.65958218
20240816,106093908.43346237
20240819,106307106.1570926
20240820,104539017.56236805
20240821,104273065.83617546
20240822,103260343.4142543
20240823,103364481.3029862
20240826,103926680.53164919
20240827,102336049.09911433
20240828,102725826.39159344
20240829,104261521.75694074
20240830,106429316.93174191
20240902,104151353.03869139
20240903,105231099.99888948
20240904,104609587.87313068
20240905,105330573.59753244
20240906,103728934.35221785
20240909,102862411.50631447
20240910,103321456.88068385
20240911,102990815.88311385
20240912,102677433.8930081
20240913,101382211.53299043
20240918,101527567.52578796
20240919,103437716.82728577
20240920,102979562.10632911
20240923,103270717.39992619
20240924,107064670.28316824
20240925,108539594.08407293
20240926,112052894.14082873
20240927,116674993.9651696
20240930,128122570.62468983
20241008,136401967.6893116
20241009,123267676.12137753
20241010,123344047.13928314
20241011,117994247.35596384
20241014,122115223.38655019
20241015,119688954.54672863
20241016,119388160.25710812
20241017,119546299.66697057
20241018,124394618.5568361
20241021,127737774.46041264
20241022,129033721.14698681
20241023,130583833.70545086
20241024,130566357.56777719
20241025,133543304.36205126
20241028,136136080.65661642
20241029,133836099.59481125
20241030,134594715.60539442
20241031,137430634.2849914
20241101,133058282.17057987
20241104,136305952.27693555
20241105,141307996.92436308
20241106,142957418.44396752
20241107,144840561.04058814
20241108,145059605.2669238
20241111,147692824.6405972
20241112,146096646.3472102
20241113,147452350.4086625
20241114,143379536.74377635
20241115,141082916.82533395
20241118,138397340.72903022
20241119,142882955.97414562
20241120,146140133.24050573
20241121,147094577.66236365
20241122,142234609.91270024
20241125,143396644.08470955
20241126,140663808.41592214
20241127,142723485.77375385
20241128,141799946.3749979
20241129,144732143.04427493
20241202,147760999.17876804
20241203,148106372.9616318
20241204,147099314.88536254
20241205,148476927.3057149
20241206,149350569.00180727
20241209,150100050.1590206
20241210,150306142.6564156
20241211,152040360.04156753
20241212,152734724.24964976
20241213,149493356.9260797
20241216,147810729.5501767
20241217,144170942.5728929
20241218,144618594.05744502
20241219,145867856.3689219
20241220,147359789.89982435
20241223,143248480.99713483
20241224,146013001.7235181
20241225,145033820.53778803
20241226,148020851.93992078
20241227,147842325.2762828
20241230,147401570.48314497
20241231,143487239.81230137
20250102,141092390.2271355
20250103,137352998.56813833
20250106,138116066.9302912
20250107,142187125.36678448
20250108,142579234.20818067
20250109,143714909.3878134
20250110,140778297.4823625
20250113,140160646.23635942
20250114,146042560.35685244
20250115,144847061.09354758
20250116,146151709.75360662
20250117,147257663.7497411
20250120,148482680.00036132
20250121,148706442.11851913
20250122,148337510.90541014
20250123,147581915.24780607
20250124,149723433.01423025
20250127,147581175.2104259
20250205,147009260.39544377
20250206,150953654.9290332
20250207,152627533.5977875
20250210,153971301.86595237
20250211,154482638.06822306
20250212,155954374.61016738
20250213,153656378.6192397
20250214,153855794.67398113
20250217,155804038.25783962
20250218,153927080.72866845
20250219,158001487.00536785
20250220,160310780.4100719
20250221,164439958.0450963
20250224,164971441.07460022
20250225,164854273.7717789
20250226,167425503.5215389
20250227,166394005.66029805
20250228,160804556.86524796
20250303,161170493.56005874
20250304,163408328.4220006
20250305,165618776.74202135
20250306,167721046.89379695
20250307,167895483.52843255
20250310,168851081.54961824
20250311,170565652.6531173
20250312,171923558.34810948
20250313,171998432.7438527
20250314,174404406.9833178
20250317,174879275.77994865
20250318,176337232.45350805
20250319,175043039.33172363
20250320,174310803.76435697
20250321,171632326.00365394
20250324,170881414.6469515
20250325,170396697.0274161
20250326,171334912.32329553
20250327,169614090.4533229
20250328,168132604.69212955
20250331,166872137.90546513
20250401,168022419.79539436
20250402,168659161.10166368
20250403,166054089.5417306
20250407,150398441.81651852
20250408,149391299.15362892
20250409,151359388.63768622
20250410,155008132.8685325
20250411,155661103.49180353
20250414,158536648.31879643
20250415,157913433.78449103
20250416,156014036.03876653
20250417,156454148.68008673
20250418,156410449.3283886
20250421,160147185.6526256
20250422,160886588.00886863
20250423,161946354.3828997
20250424,161574827.0521709
20250425,162617333.6281122
20250428,161007122.29357708
20250429,161834259.99973768
20250430,161862886.4525766
20250506,165358434.83267146
20250507,166809523.92785826
20250508,168237483.61994916
